02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\Courier Prime\LICENSE\OFL.txt
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\._.DS_Store
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\._Courier Prime Bold Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\._Courier Prime Bold.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\._Courier Prime Italic.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\._Courier Prime.ttf
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\._Read me.txt
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\LICENSE\._OFL-FAQ.txt
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-prime\__MACOSX\Courier Prime\LICENSE\._OFL.txt
02 Oct 2015 19:04:36 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\be1cc1ec-d97c-4ff4-b455-bb5611f9d186\Compressed\courier-sans\CourierPrimeSans-master\.gitignore
